"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"A provider, DMWmiBridgeProv, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","14573","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","3568","4952","Crow-2","S-1-5-18","1/5/2024 11:35:39 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","14569","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","3568","7292","Crow-2","S-1-5-18","1/5/2024 11:35:32 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","14568","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","3568","7292","Crow-2","S-1-5-18","1/5/2024 11:35:32 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","14567","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","3568","4952","Crow-2","S-1-5-18","1/5/2024 11:35:32 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Scoping unsuccessful for shadowcopy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy7 with error 0x80070057.","8303","0",,"3","0","0","-9223372036854775808","14432","Microsoft-Windows-System-Restore","126cdb97-d346-4894-8a34-658da5eea1b6","Application","18012","7536","Crow-2","S-1-5-18","1/4/2024 10:27:28 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Scoping unsuccessful for shadowcopy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy7 with error 0x80070057.","8303","0",,"3","0","0","-9223372036854775808","14430","Microsoft-Windows-System-Restore","126cdb97-d346-4894-8a34-658da5eea1b6","Application","12840","5608","Crow-2","S-1-5-18","1/4/2024 10:27:22 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Scoping unsuccessful for shadowcopy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy6 with error 0x80070057.","8303","0",,"3","0","0","-9223372036854775808","14428","Microsoft-Windows-System-Restore","126cdb97-d346-4894-8a34-658da5eea1b6","Application","4228","8960","Crow-2","S-1-5-18","1/4/2024 10:27:09 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","14106","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","3672","7932","Crow-2","S-1-5-18","12/6/2023 12:03:22 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","14105","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","3672","7932","Crow-2","S-1-5-18","12/6/2023 12:03:22 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","14104","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","3672","5152","Crow-2","S-1-5-18","12/6/2023 12:03:22 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
